rx_index,time_ns,softOut,rx_bit,tx_bit
777,783885000,-40,1,1
778,784885000,40,0,0
779,785885000,-40,1,1
780,786885000,-42,1,1
781,787885000,42,0,0
782,788885000,40,0,0
783,789885000,-40,1,1
784,790885000,40,0,0
785,791885000,46,0,0
786,792885000,40,0,0
787,793885000,-40,1,1
788,794885000,40,0,0
789,795885000,46,0,0
790,796885000,48,0,0
791,797885000,46,0,0
792,798885000,40,0,0
793,799885000,-38,1,1
794,800885000,38,0,0
795,801885000,-38,1,1
796,802885000,38,0,0
797,803885000,-38,1,1
798,804885000,40,0,0
799,805885000,46,0,0
800,806885000,48,0,0
801,807885000,46,0,0
802,808885000,42,0,0
803,809885000,-42,1,1
804,810885000,-46,1,1
805,811885000,-48,1,1
806,812885000,-46,1,1
807,813885000,-40,1,1
808,814885000,40,0,0
809,815885000,-40,1,1
810,816885000,-40,1,1
811,817885000,38,0,0
812,818885000,-38,1,1
813,819885000,40,0,0
814,820885000,46,0,0
815,821885000,42,0,0
816,822885000,-42,1,1
817,823885000,-42,1,1
818,824885000,42,0,0
819,825885000,40,0,0
820,826885000,-38,1,1
821,827885000,38,0,0
822,828885000,-38,1,1
823,829885000,40,0,0
824,830885000,40,0,0
825,831885000,-40,1,1
826,832885000,40,0,0
827,833885000,40,0,0
828,834885000,-38,1,1
829,835885000,38,0,0
830,836885000,-38,1,1
831,837885000,40,0,0
832,838885000,46,0,0
833,839885000,42,0,0
834,840885000,-42,1,1
835,841885000,-42,1,1
836,842885000,42,0,0
837,843885000,42,0,0
838,844885000,-42,1,1
839,845885000,-46,1,1
840,846885000,-48,1,1
841,847885000,-46,1,1
842,848885000,-42,1,1
843,849885000,42,0,0
844,850885000,40,0,0
845,851885000,-38,1,1
846,852885000,38,0,0
847,853885000,-38,1,1
848,854885000,40,0,0
849,855885000,42,0,0
850,856885000,-42,1,1
851,857885000,-42,1,1
852,858885000,42,0,0
853,859885000,46,0,0
854,860885000,48,0,0
855,861885000,46,0,0
856,862885000,42,0,0
857,863885000,-42,1,1
858,864885000,-42,1,1
859,865885000,42,0,0
860,866885000,42,0,0
861,867885000,-42,1,1
862,868885000,-46,1,1
863,869885000,-40,1,1
864,870885000,38,0,0
865,871885000,-38,1,1
866,872885000,38,0,0
867,873885000,-40,1,1
868,874885000,-46,1,1
869,875885000,-42,1,1
